# gate_id	state	evidence	basis
A-01	PASS	qualification/program-c/gate-i-receipts.tsv	Exact I-01 through I-08 receipts remain indexed and passing; final candidate execution was admitted only after a fresh Gate I PASS at repair revision 8c99aef.
A-02	PASS	qualification/program-c/candidate-comparison.v1.json	Only Gonum Louvain v0.17.0 and Gonum Leiden commit 69ca49f were qualified; the comparison remains bounded and makes no universal superiority claim.
A-03	PASS	qualification/program-c/a-03-caller-approval.v1.json	Caller-asserted authority approves only BSD-3-Clause, the two exact candidate revisions, and linked/bundled distribution; it explicitly denies inferred or broader authority.
A-04	PASS	qualification/program-c/a-04-current-platform-scope.v1.json;qualification/program-c/a-04-darwin-arm64-build-reproducibility.v1.json	Current intended scope remains exact Darwin arm64 with CGO disabled and retained exact reproducible-build evidence.
A-05	PASS	qualification/program-c/candidates/gonum-louvain/candidate-qualification.8c99aef.receipt.json;qualification/program-c/candidates/gonum-leiden/candidate-qualification.8c99aef.receipt.json	Every candidate/fixture/seed cell has three matching base outputs and one matching deterministic insertion-order permutation under externally retained canonicalization.
A-06	PASS	qualification/program-c/a-06-fixture-inventory.v1.json;qualification/program-c/candidates/gonum-louvain/candidate-qualification.8c99aef.receipt.json;qualification/program-c/candidates/gonum-leiden/candidate-qualification.8c99aef.receipt.json	Four explicit fixtures cover all six required classes; two exact candidates each completed 32 of 32 bounded supervised runs with zero typed failures and no omitted denominator.
A-07	PASS	qualification/program-c/a-07-boundary-accounting-contract.v1.json	The complete proposed accounting contract defines occurrences, measures, witnesses, identity bindings, denominators, typed outcomes, and a structural-only claim ceiling; production implementation remains outside this qualification.
A-08	PASS	qualification/program-c/a-08-instability-contract.v1.json	The complete proposed instability contract defines label-independent matching, unmatched accounting, metrics, thresholds, exact run inventory, fail-closed outcomes, and publication blocking.
A-09	PASS	qualification/program-c/i-08-neutrality-examples.v1.json;qualification/program-c/gate-i-i-08-neutrality.receipt.txt	Positive and prohibited examples preserve structural, run-local, non-semantic claims.
A-10	PASS	qualification/program-c/a-10-implementation-test-plan.v1.json;qualification/program-c/a-10-implementation-test-plan.v1.review.json;qualification/program-c/a-10-implementation-test-plan.v1.review.txt	The independent read-only review remains exact and confirms every required guard class; the retained predecessor plan remains honestly historical and unexecuted.
